Index,Post,Comments,Date
13,whats happening with fetish this year? i feel like i havent seen anything abt it,38,11:42:34
14,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",21,11:42:34
0,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,4,12:12:32
1,im not wearing blue to fetish i literally cant afford to buy something new n already have a costume,2,12:12:32
2,umass course list? :( when,3,12:12:32
3,why are the psychology course listings always so bad they literally make it impossible to major in psychology ,2,12:12:32
4,person in hatfield wearing bright colors & purple platform gogo boots i love ur outfit 🫶🏻,1,12:12:32
5,"predator alert: ~26/27 yr old guy who walks 2 dogs throughout campus and on west street (st that the parking garage is on). He has gone by multiple names, when I knew him years ago he went by Brian Romero, but he also uses the name wolf. He has sexually assaulted two of my friends and has used drugs to disable individuals to assault them. I am posting this on the confessional because he has tried to create bonds with Smith students and uses his dogs as a means to get women and femme people to interact with him. Because none of the assaults have happened to smith college students the college cannot ban him from the property even though he is a predator. I have seen him in the smith college gym and inside some buildings. Please be cautious. ",59,12:12:32
6,girl singing in Emerson literally STOP nobody wants to hear this,10,12:12:32
7,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",31,12:12:32
8,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",0,12:12:32
9,what is the attire for fetish,10,12:12:32
10,is the hst 200 midterm hard,0,12:12:32
11,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",26,12:12:32
12,offer bio 130 at 2 times im begging you bio department i need this,0,12:12:32
13,i just had sex in seelye,10,12:12:32
14,has anyone taken a class with faith zhang before? ,0,12:12:32
0,idk about yall but im so fucking excited for blues night fetish… i think itll be so cute! and its nice to have a little direction picking out my costume 😅,3,12:42:35
1,offer bio 130 at 2 times im begging you bio department i need this,1,12:42:35
2,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",24,12:42:35
3,thank god i somehow was fast enough to order the poke bowl today. i needed it.,2,12:42:35
4,can i wear my fursuit to fetish?,0,12:42:35
5,why are the psychology course listings always so bad they literally make it impossible to major in psychology ,4,12:42:35
6,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,8,12:42:35
7,airpods case in the hillyer first floor bathroom big stall. on the tp rack,0,12:42:35
8,umass course list? :( when,3,12:42:35
9,person in hatfield wearing bright colors & purple platform gogo boots i love ur outfit 🫶🏻,1,12:42:35
10,"predator alert: ~26/27 yr old guy who walks 2 dogs throughout campus and on west street (st that the parking garage is on). He has gone by multiple names, when I knew him years ago he went by Brian Romero, but he also uses the name wolf. He has sexually assaulted two of my friends and has used drugs to disable individuals to assault them. I am posting this on the confessional because he has tried to create bonds with Smith students and uses his dogs as a means to get women and femme people to interact with him. Because none of the assaults have happened to smith college students the college cannot ban him from the property even though he is a predator. I have seen him in the smith college gym and inside some buildings. Please be cautious. ",59,12:42:35
11,girl singing in Emerson literally STOP nobody wants to hear this,10,12:42:35
12,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",31,12:42:35
13,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",0,12:42:35
14,is the hst 200 midterm hard,0,12:42:35
0,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",5,13:12:35
1,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",32,13:12:35
2,will cone insense set off the fire alarms?,4,13:12:35
3,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",29,13:12:35
4,another school shooting..,0,13:12:35
5,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,3,13:12:35
6,idk about yall but im so fucking excited for blues night fetish… i think itll be so cute! and its nice to have a little direction picking out my costume 😅,5,13:12:35
7,is fetish gonna be outside,2,13:12:35
8,on a scale of ur mom to ur dad who are you most similar to,5,13:12:35
9,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,9,13:12:35
10,my binge eating is getting so bad i need advice ,4,13:12:35
11,in your past (ended) relationships did you think you would get married to them,15,13:12:35
12,offer bio 130 at 2 times im begging you bio department i need this,1,13:12:35
13,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",24,13:12:35
14,thank god i somehow was fast enough to order the poke bowl today. i needed it.,2,13:12:35
0,how is prof dellacasa for intro macro????,0,13:42:36
1,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",12,13:42:36
2,first romantic entanglement with a neurotypical person i hate it so much and i want to break up with them but their friends will shit talk me for all eternity and make me feel terrible. its like a hostage situation and im fucking terrified to even move and every time i hang out with them i have a panic attack afterwards ,10,13:42:36
3,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,8,13:42:36
4,where is everybody getting the info about fetish??? ,1,13:42:36
5,ugh just so excited for fetish! 🥶🧵👔🐬💦🛝,1,13:42:36
6,can i wear my fursuit to fetish?,4,13:42:36
7,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",3,13:42:36
8,hows mlada buksvansky for gov 100?,1,13:42:36
9,umass course list? :( when,4,13:42:36
10,anyone have sai ying ng as a prof? and/or know her office hours?,0,13:42:36
11,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",32,13:42:36
12,will cone insense set off the fire alarms?,4,13:42:36
13,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",29,13:42:36
14,another school shooting..,0,13:42:36
0,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,10,14:12:36
1,silly little dykes,0,14:12:36
2,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",21,14:12:36
3,why are the psychology course listings always so bad they literally make it impossible to major in psychology ,7,14:12:36
4,on a scale of ur mom to ur dad who are you most similar to,6,14:12:36
5,ugh just so excited for fetish! 🥶🧵👔🐬💦🛝,7,14:12:36
6,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",33,14:12:36
7,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",33,14:12:36
8,can i wear my fursuit to fetish?,5,14:12:36
9,"anyone know where we can find the umass, amherst, and hampshire courses??",3,14:12:36
10,first romantic entanglement with a neurotypical person i hate it so much and i want to break up with them but their friends will shit talk me for all eternity and make me feel terrible. its like a hostage situation and im fucking terrified to even move and every time i hang out with them i have a panic attack afterwards ,12,14:12:36
11,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,10,14:12:36
12,where is everybody getting the info about fetish??? ,4,14:12:36
13,hows mlada buksvansky for gov 100?,2,14:12:36
14,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",4,14:12:36
0,"anyone know where we can find the umass, amherst, and hampshire courses??",4,14:42:36
1,swg majors how r we feeling abt coirses/profs for the spring?,0,14:42:36
2,why do people talk about narcissists like theh are some other group outside of society? like these bitches are everywhere. ,0,14:42:36
3,can you get into sage at any time or do the doors lock for the night? ,0,14:42:36
4,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",34,14:42:36
5,can i wear my fursuit to fetish?,6,14:42:36
6,my binge eating is getting so bad i need advice ,5,14:42:36
7,anyone know where to meet abarca for office hours?,0,14:42:36
8,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,10,14:42:36
9,silly little dykes,0,14:42:36
10,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",21,14:42:36
11,why are the psychology course listings always so bad they literally make it impossible to major in psychology ,7,14:42:36
12,on a scale of ur mom to ur dad who are you most similar to,6,14:42:36
13,ugh just so excited for fetish! 🥶🧵👔🐬💦🛝,7,14:42:36
14,"if you could go back in time and fix society in some way so that present day could be better, what would you change? i would stop the enlightenment :) (plz dont take this too seriously i am looking for entertaining answers)",33,14:42:36
0,where is the spring catalog?,0,15:12:37
1,thoughts on new spring courses? i feel like they are repetitive :/,0,15:12:37
2,i love living in hubbard bc when the smith wifi goes down i can use forbes library's guest wifi,6,15:12:37
3,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",5,15:12:37
4,my binge eating is getting so bad i need advice ,6,15:12:37
5,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",22,15:12:37
6,anyone know where to meet abarca for office hours?,1,15:12:37
7,"Guys how lax are professors with prerequisites? If I need to have taken MTH112 for one course, is there any way I can self study Calc II on my own and then take it? I really want to take this course",1,15:12:37
8,just to rant but im so sad me snd my roommate planned such a cute costume for fetish not knowing about the blue theme so now we just gotts blue it up,0,15:12:37
9,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,12,15:12:37
10,is 22 credits manageable for next sem (2 are econ),2,15:12:37
11,josh birk fangirls weird af,0,15:12:37
12,silly little dykes,3,15:12:37
13,first romantic entanglement with a neurotypical person i hate it so much and i want to break up with them but their friends will shit talk me for all eternity and make me feel terrible. its like a hostage situation and im fucking terrified to even move and every time i hang out with them i have a panic attack afterwards ,13,15:12:37
14,can i wear my fursuit to fetish?,7,15:12:37
0,"predator alert: ~26/27 yr old guy who walks 2 dogs throughout campus and on west street (st that the parking garage is on). He has gone by multiple names, when I knew him years ago he went by Brian Romero, but he also uses the name wolf. He has sexually assaulted two of my friends and has used drugs to disable individuals to assault them. I am posting this on the confessional because he has tried to create bonds with Smith students and uses his dogs as a means to get women and femme people to interact with him. Because none of the assaults have happened to smith college students the college cannot ban him from the property even though he is a predator. I have seen him in the smith college gym and inside some buildings. Please be cautious. ",61,15:42:37
1,sometimes i post on confesh and think about the possibility my crush will see it ,0,15:42:37
2,"i am trying to get into running and build up my enduracne, do you guys have any good affordable running shoes recs? ",0,15:42:37
3,why do people talk about narcissists like theh are some other group outside of society? like these bitches are everywhere. ,2,15:42:37
4,"whats everyone wearing for fetish? im dressing as slutty dorothy from the wizard of oz to fit the ""blues night"" theme ",0,15:42:37
5,what would buzzfeed unsolved investigate at smith,13,15:42:37
6,thoughts on Geremias Polanco for multivariable calculus or math in general?,2,15:42:37
7,what can u do with the neuroscience bachelor’s degree other than research??,4,15:42:37
8,just to rant but im so sad me snd my roommate planned such a cute costume for fetish not knowing about the blue theme so now we just gotts blue it up,1,15:42:37
9,pokemoto is so good,3,15:42:37
10,another school shooting..,2,15:42:37
11,on a scale from 1 to 10 how much would i want to kill myself if i took csc 231 and 250 at the same time,0,15:42:37
12,did the post about uslac going in Kathy's house get taken down?,0,15:42:37
13,when do j term jobs get listed on workday?,0,15:42:37
14,is 22 credits manageable for next sem (2 are econ),3,15:42:37
0,faggot ♥️,0,16:12:37
1,"Guys how lax are professors with prerequisites? If I need to have taken MTH112 for one course, is there any way I can self study Calc II on my own and then take it? I really want to take this course",3,16:12:37
2,where do i get info about fetish i feel so lost,2,16:12:37
3,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",24,16:12:37
4,has anyone taken a class with faith zhang before? ,1,16:12:37
5,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",8,16:12:37
6,"i am trying to get into running and build up my enduracne, do you guys have any good affordable running shoes recs? ",1,16:12:37
7,is fetish gonna be outside,4,16:12:37
8,"predator alert: ~26/27 yr old guy who walks 2 dogs throughout campus and on west street (st that the parking garage is on). He has gone by multiple names, when I knew him years ago he went by Brian Romero, but he also uses the name wolf. He has sexually assaulted two of my friends and has used drugs to disable individuals to assault them. I am posting this on the confessional because he has tried to create bonds with Smith students and uses his dogs as a means to get women and femme people to interact with him. Because none of the assaults have happened to smith college students the college cannot ban him from the property even though he is a predator. I have seen him in the smith college gym and inside some buildings. Please be cautious. ",63,16:12:37
9,just to rant but im so sad me snd my roommate planned such a cute costume for fetish not knowing about the blue theme so now we just gotts blue it up,3,16:12:37
10,ugh just so excited for fetish! 🥶🧵👔🐬💦🛝,9,16:12:37
11,can i wear my fursuit to fetish?,9,16:12:37
12,is it true that u only remember ur dream if u wake up in the middle of it?,6,16:12:37
13,thank god i somehow was fast enough to order the poke bowl today. i needed it.,4,16:12:37
14,sometimes i post on confesh and think about the possibility my crush will see it ,0,16:12:37
0,on a scale of ur mom to ur dad who are you most similar to,7,16:42:38
1,why is the campus cafe not serving food rn i literally just want a burger ,2,16:42:38
2,"i am trying to get into running and build up my enduracne, do you guys have any good affordable running shoes recs? ",2,16:42:38
3,is 22 credits manageable for next sem (2 are econ),5,16:42:38
4,josh birk fangirls weird af,2,16:42:38
5,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,13,16:42:38
6,what can u do with the neuroscience bachelor’s degree other than research??,5,16:42:38
7,where do i get info about fetish i feel so lost,2,16:42:38
8,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",24,16:42:38
9,"my roommate smells SO bad. she showers like once a week at most for like 5 minutes and has literally done ONE load of laundry this entire semester. idk if shes just noseblind to herself, but i cant even have friends over to my room because its so embarasingly smelly. who do i talk to about this? because ive tried multiple times to hint to her politely, but what someone needs to say is that she smells fucking terrible and needs to grow the fuck up and clean herself.",8,16:42:38
10,is fetish gonna be outside,4,16:42:38
11,"predator alert: ~26/27 yr old guy who walks 2 dogs throughout campus and on west street (st that the parking garage is on). He has gone by multiple names, when I knew him years ago he went by Brian Romero, but he also uses the name wolf. He has sexually assaulted two of my friends and has used drugs to disable individuals to assault them. I am posting this on the confessional because he has tried to create bonds with Smith students and uses his dogs as a means to get women and femme people to interact with him. Because none of the assaults have happened to smith college students the college cannot ban him from the property even though he is a predator. I have seen him in the smith college gym and inside some buildings. Please be cautious. ",63,16:42:38
12,just to rant but im so sad me snd my roommate planned such a cute costume for fetish not knowing about the blue theme so now we just gotts blue it up,3,16:42:38
13,ugh just so excited for fetish! 🥶🧵👔🐬💦🛝,9,16:42:38
14,can i wear my fursuit to fetish?,9,16:42:38
0,anyone find grey bose headphones in the gym?,4,17:12:39
1,how are rob dorit and steve williams as professors?,2,17:12:39
2,should i take biochemistry lab or no,0,17:12:39
3,umass course list? :( when,5,17:12:39
4,BALDWIN CRUSHES GO,2,17:12:39
5,thoughts on new spring courses? i feel like they are repetitive :/,1,17:12:39
6,josh birk fangirls weird af,4,17:12:39
7,what can u do with the neuroscience bachelor’s degree other than research??,6,17:12:39
8,is 22 credits manageable for next sem (2 are econ),7,17:12:39
9,has anyone seen an airpods case in a pink silicone outer case? i have the actual airpods but cant find the case anywhere. lmk!!,1,17:12:39
10,why is the campus cafe not serving food rn i literally just want a burger ,4,17:12:39
11,on a scale of ur mom to ur dad who are you most similar to,8,17:12:39
12,how is prof dellacasa for intro macro????,1,17:12:39
13,"i am trying to get into running and build up my enduracne, do you guys have any good affordable running shoes recs? ",2,17:12:39
14,when will i stop being sad about my breakup. its been almost 2 months. feels unfair that im still down in the dumps when it was me that broke up w her,13,17:12:39
0,"I feel like I have the most obvious crush on my friend and she has not said anything about it and I kind of want her to, even if it’s to reject me. Please, I am begging at this point",16,17:42:39
1,is it bad that i smoke weed every day?im worried and i feel so guilty about it ,5,17:42:39
2,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,12,17:42:39
3,lol did yall hear abt the garam thing apparently shes innocent now,1,17:42:39
4,thoughts Argyris Tsiaras for macro econ?,0,17:42:39
5,you guys i need to fuck walt jr so bad,1,17:42:39
6,what's the max amount of $ someone can earn/work over interterm? is it full time hours?,1,17:42:39
7,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",35,17:42:39
8,did the post about uslac going in Kathy's house get taken down?,1,17:42:39
9,umass course list? :( when,7,17:42:39
10,has anyone had faith zhang for sds 291,0,17:42:39
11,first romantic entanglement with a neurotypical person i hate it so much and i want to break up with them but their friends will shit talk me for all eternity and make me feel terrible. its like a hostage situation and im fucking terrified to even move and every time i hang out with them i have a panic attack afterwards ,17,17:42:39
12,where is everybody getting the info about fetish??? ,5,17:42:39
13,thoughts on Geremias Polanco for multivariable calculus or math in general?,3,17:42:39
14,how are rob dorit and steve williams as professors?,4,17:42:39
0,dropping out or transfering and then continuing to post about how much smith sucks is kinda freak behavior like okay you left how about move on,2,18:12:40
1,does the vault sell disposables ,0,18:12:40
2,is it bad that i smoke weed every day?im worried and i feel so guilty about it ,7,18:12:40
3,you guys i need to fuck walt jr so bad,2,18:12:40
4,i just want a gf but i am very particular of how they should look so i feel like at this rate I’ll never get anyone ,1,18:12:40
5,how is becca thomases?,1,18:12:40
6,who wants to be my first kiss im sick of never having kissed anyone but its never going to happen at this rate,4,18:12:40
7,thoughts on Zachary Winkeler for intro discrete math?,0,18:12:40
8,how do u report comments on confesh?,0,18:12:40
9,thoughts on Geremias Polanco for multivariable calculus or math in general?,4,18:12:40
10,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",26,18:12:40
11,umass course list? :( when,8,18:12:40
12,what are our interterm options? do the other schools in the consortium have interterm classes?,0,18:12:40
13,"I feel like I have the most obvious crush on my friend and she has not said anything about it and I kind of want her to, even if it’s to reject me. Please, I am begging at this point",18,18:12:40
14,thoughts Argyris Tsiaras for macro econ?,1,18:12:40
0,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",28,18:42:40
1,is it bad that i smoke weed every day?im worried and i feel so guilty about it ,9,18:42:40
2,where do i get info about fetish i feel so lost,4,18:42:40
3,dropping out or transfering and then continuing to post about how much smith sucks is kinda freak behavior like okay you left how about move on,4,18:42:40
4,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,13,18:42:40
5,how is becca thomases?,4,18:42:40
6,should i take biochemistry lab or no,1,18:42:40
7,ughhhh the news about fetish has me all like 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,0,18:42:40
8,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",36,18:42:40
9,who wants to be my first kiss im sick of never having kissed anyone but its never going to happen at this rate,5,18:42:40
10,does the vault sell disposables ,0,18:42:40
11,you guys i need to fuck walt jr so bad,2,18:42:40
12,i just want a gf but i am very particular of how they should look so i feel like at this rate I’ll never get anyone ,1,18:42:40
13,thoughts on Zachary Winkeler for intro discrete math?,0,18:42:40
14,thoughts on Geremias Polanco for multivariable calculus or math in general?,4,18:42:40
0,Is it worth going to inpatient care this late into the semester? my mental health is really really bad and ive been in bad habits latey. I feel like getting a therapist is such a slow process here and things like my SSP aren’t helping. I genuinely feel so lost but don’t wanna lose a year or so of college,0,19:12:41
1,cc workers >> neilson campus cafe workers ,17,19:12:41
2,"Which one is better, Fetish or Immorality??",1,19:12:41
3,is it bad that i smoke weed every day?im worried and i feel so guilty about it ,10,19:12:41
4,should i take biochemistry lab or no,2,19:12:41
5,when do concentration acceptances come out,1,19:12:41
6,is 22 credits manageable for next sem (2 are econ),8,19:12:41
7,"i hate how sanitized queerness feels rn when i compare it to, say, the 70s before aids. on the other hand as a queer immigrant, im really glad it’s so much safer to be queer and i dont have to abandon my family to be a part of the community. but still it feels so inauthentic sometimes, like especially in pop culture. too safe and too clean",28,19:12:41
8,where do i get info about fetish i feel so lost,4,19:12:41
9,dropping out or transfering and then continuing to post about how much smith sucks is kinda freak behavior like okay you left how about move on,4,19:12:41
10,why the fuck is our gym open to the public but amherst’s and most other schools arent. i hate all the random fucking men that grunt loudly and hog the machines for forever. why is it our responsibility to share our gym that we pay for when they can just go to another one. i am so sick of seeing them there and having to wait for forever when its my own school’s gym. also they never wipe anything down its disgusting ,13,19:12:41
11,how is becca thomases?,4,19:12:41
12,ughhhh the news about fetish has me all like 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,0,19:12:41
13,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",36,19:12:41
14,who wants to be my first kiss im sick of never having kissed anyone but its never going to happen at this rate,5,19:12:41
0,Does the cc have davids brownies tn,0,19:42:41
1,can you get into sage at any time or do the doors lock for the night? ,2,19:42:41
2,when do we register for spring classes,2,19:42:41
3,"Which one is better, Fetish or Immorality??",3,19:42:41
4,where do i get info about fetish i feel so lost,5,19:42:41
5,thoughts on Zachary Winkeler for intro discrete math?,1,19:42:41
6,ughhhh the news about fetish has me all like 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,1,19:42:41
